loss,accuracy,recall_2,precision_2,auc_2,val_loss,val_accuracy,val_recall_2,val_precision_2,val_auc_2
1.2901887893676758,0.5396244525909424,0.3951881527900696,0.7245901823043823,0.8548015356063843,0.9876209497451782,0.644646942615509,0.5056947469711304,0.7904374599456787,0.9182519912719727
1.0331352949142456,0.6326099038124084,0.502479076385498,0.7762430906295776,0.9088549613952637,0.9548741579055786,0.6560364365577698,0.5248942375183105,0.7902988791465759,0.9233613610267639
0.9759696125984192,0.6545557975769043,0.5201983451843262,0.7899284362792969,0.9191839694976807,0.9325765371322632,0.6664497256278992,0.5310771465301514,0.799608051776886,0.9268014430999756
0.9417473077774048,0.6621149182319641,0.5344225168228149,0.7996837496757507,0.9249967932701111,0.9211962819099426,0.6703547239303589,0.5346567034721375,0.8085629940032959,0.9288208484649658
0.9085925221443176,0.6736568212509155,0.5485653877258301,0.8085539937019348,0.9303470849990845,0.9109735488891602,0.6742596626281738,0.5519036650657654,0.8015123009681702,0.9300659894943237
0.8818930983543396,0.6858489513397217,0.5603511333465576,0.8119184970855713,0.934553861618042,0.9020213484764099,0.6797917485237122,0.5525544881820679,0.8055028319358826,0.9312465786933899
0.8597530126571655,0.6930829882621765,0.5688856244087219,0.8183093667030334,0.9379774332046509,0.8963576555252075,0.6876016855239868,0.5574357509613037,0.8042253255844116,0.9319242238998413
0.8423497080802917,0.6990165114402771,0.5801836848258972,0.8243446350097656,0.9405493140220642,0.8919671177864075,0.6866254210472107,0.566872775554657,0.8005514740943909,0.9326115250587463
0.8230034112930298,0.7050312757492065,0.5875802636146545,0.8244753479957581,0.9433121681213379,0.8864281177520752,0.6876016855239868,0.568174421787262,0.8053505420684814,0.9333970546722412
0.8087832927703857,0.708770215511322,0.5928635001182556,0.8309409618377686,0.9454923272132874,0.8919762969017029,0.6869508624076843,0.5714285969734192,0.7989081144332886,0.9323845505714417
