loss,accuracy,recall,precision,auc_1,val_loss,val_accuracy,val_recall,val_precision,val_auc_1
1.2485668659210205,0.5689669251441956,0.4613508880138397,0.7036945223808289,0.8735141754150391,1.0648679733276367,0.6436706781387329,0.39765700697898865,0.8759856820106506,0.9110586047172546
0.9663935899734497,0.6569129228591919,0.5547427535057068,0.7729331851005554,0.9223384857177734,0.9315446019172668,0.6635209918022156,0.534005880355835,0.8233818411827087,0.9263819456100464
0.8408136963844299,0.6994228959083557,0.6093635559082031,0.8049173355102539,0.9406266212463379,0.9456132054328918,0.673934280872345,0.5880247354507446,0.7870209217071533,0.9253355264663696
0.7310451865196228,0.7351865172386169,0.6589449644088745,0.8295303583145142,0.9547445178031921,1.0030471086502075,0.6684021949768066,0.6033192276954651,0.7481840252876282,0.9223332405090332
0.6043812036514282,0.7841176986694336,0.7197431325912476,0.8560518026351929,0.9689813852310181,1.0374650955200195,0.6540839672088623,0.5808656215667725,0.7354758977890015,0.9160066246986389
0.5151410698890686,0.8179305791854858,0.7679427862167358,0.871345579624176,0.9769711494445801,1.1535502672195435,0.6547347903251648,0.6173120737075806,0.7240458130836487,0.9112318754196167
0.39261338114738464,0.8602780103683472,0.8207754492759705,0.8991184830665588,0.9863981604576111,1.2607618570327759,0.6547347903251648,0.6225187182426453,0.6974115967750549,0.9056550860404968
0.32468611001968384,0.8840932846069336,0.8580833673477173,0.9132353067398071,0.990134060382843,1.4327011108398438,0.6270745396614075,0.6013667583465576,0.6681128144264221,0.8907149434089661
0.2704862952232361,0.9031943678855896,0.8846622705459595,0.9231551885604858,0.9928868412971497,1.4608137607574463,0.648551881313324,0.6228440999984741,0.6843045949935913,0.8941081762313843
0.21272878348827362,0.9257091879844666,0.9108347296714783,0.9393913745880127,0.9953742027282715,1.5786582231521606,0.6384640336036682,0.6195899844169617,0.6662001609802246,0.8883299231529236
